Product_Name,Year_Month,Warehouse_Inventory,Inventory_Cost_Per_Unit,Storage_Cost
Perfect Fitness Perfect Rip Deck,201712,0,0.7,0
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29,2.59
O'Brien Men's Neoprene Life Vest,201712,0,0.57,0
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26,1.26
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.48,0
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.7,0
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39,0
Pelican Sunstream 100 Kayak,201712,0,0.2,0
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.55,0
ENO Atlas Hammock Straps,201712,0,0.48,0
Nike Men's Comfort 2 Slide,201712,0,1.96,0
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.08,0
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.66,0
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.51,0
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66,0
Glove It Women's Imperial Golf Glove,201712,0,1.56,0
Glove It Imperial Golf Towel,201712,0,2.25,0
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.07,0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16,4.32
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.48,0
Under Armour Women's Ignite Slide,201712,2,1.01,2.02
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35,0
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75,0
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.01,0
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.21,0
Nike Women's Tempo Shorts,201712,0,1.63,0
Team Golf Texas Longhorns Putter Grip,201712,2,2.25,4.49
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.58,0
Clicgear 8.0 Shoe Brush,201712,0,1.4,0
Hirzl Women's Hybrid Golf Glove,201712,0,1.06,0
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43,0
Top Flite Women's 2017 XL Hybrid,201712,0,0.55,0
Glove It Urban Brick Golf Towel,201712,0,0.7,0
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.59,0
TYR Boys' Team Digi Jammer,201712,0,0.64,0
Team Golf San Francisco Giants Putter Grip,201712,0,1.89,0
Clicgear Rovic Cooler Bag,201712,0,1.29,0
Hirzl Men's Hybrid Golf Glove,201712,0,1.06,0
Titleist Pro V1x Golf Balls,201712,0,0.25,0
adidas Men's Germany Black Crest Away Tee,201712,0,1.28,0
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94,0
Under Armour Women's Micro G Skulpt Running S,201712,0,2.32,0
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.03,1.03
Under Armour Women's Ignite PIP VI Slide,201712,0,1.89,0
Bag Boy Beverage Holder,201712,0,0.73,0
Under Armour Men's Tech II T-Shirt,201712,0,0.89,0
Team Golf New England Patriots Putter Grip,201712,0,1.89,0
Under Armour Men's Compression EV SL Slide,201712,0,0.77,0
Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.84,0
Glove It Women's Mod Oval Golf Glove,201712,0,0.79,0
Titleist Pro V1x High Numbers Golf Balls,201712,0,0.45,0
Nike Women's Legend V-Neck T-Shirt,201712,0,1.73,0
Under Armour Kids' Mercenary Slide,201712,0,0.31,0
adidas Kids' F5 Messi FG Soccer Cleat,201712,0,0.29,0
Children's heaters,201712,0,0.34,0
Web Camera,201712,0,1.13,0
Dell Laptop,201712,14,1.56,21.89
Porcelain crafts,201712,0,1.28,0
Sports Books,201712,2,1,2
DVDs,201712,64,2.04,130.27
Industrial consumer electronics,201712,0,1.98,0
Fighting video games,201712,4,1.88,7.51
Summer dresses,201712,13,1.36,17.71
Lawn mower,201712,4,1.34,5.38
Adult dog supplies,201712,2,2.08,4.16
Rock music,201712,16,2.26,36.2
Elevation Training Mask 2.0,201712,0,2.02,0
LIJA Women's Mid-Length Panel Golf Shorts,201712,0,1.87,0
Toys,201712,133,0.2,25.95
Brooks Women's Ghost 6 Running Shoe,201712,0,0.88,0
Bag Boy M330 Push Cart,201712,0,0.9,0
Merrell Women's Grassbow Sport Hiking Shoe,201712,0,2.33,0
Nike Men's Free TR 5.0 TB Training Shoe,201712,0,1.64,0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201712,0,0.76,0
First aid kit,201712,18,0.19,3.4
CDs of rock,201712,0,1.2,0
Polar FT4 Heart Rate Monitor,201712,0,1.91,0
LIJA Women's Argyle Golf Polo,201712,0,0.42,0
TaylorMade White Smoke IN-12 Putter,201712,0,1.56,0
